Found enzyme: Carbonic anhydrase (4.2.1.1)
--- Substrate, Organism, UniProt ID, KM Value (mM) ---
Substrate: CO2, Organism: Rattus norvegicus, UniProt ID: , KM Value: 11.0
Substrate: CO2, Organism: Rattus norvegicus, UniProt ID: , KM Value: 4.2
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 4.2
Substrate: CO2, Organism: Sus scrofa, UniProt ID: , KM Value: 83.0
Substrate: CO2, Organism: Mesorhizobium loti, UniProt ID: , KM Value: 31.73
Substrate: CO2, Organism: Sulfurihydrogenibium yellowstonense, UniProt ID: , KM Value: 26.0
Substrate: CO2, Organism: Bos taurus, UniProt ID: , KM Value: 12.0
Substrate: CO2, Organism: Bos taurus, UniProt ID: , KM Value: 21.0
Substrate: CO2, Organism: Oryctolagus cuniculus, UniProt ID: , KM Value: 6.0
Substrate: CO2, Organism: Oryctolagus cuniculus, UniProt ID: , KM Value: 27.0
Substrate: CO2, Organism: Persephonella marina, UniProt ID: , KM Value: 10.8
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 1.8
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 5.8
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 2.7
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 7.2
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 47.1
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 15.3
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 35.3
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 36.2
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 2.9
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 2.9
Substrate: CO2, Organism: Colwellia psychrerythraea, UniProt ID: , KM Value: 4700.0
Substrate: CO2, Organism: Malassezia restricta, UniProt ID: , KM Value: 10.1
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 20.0
Substrate: CO2, Organism: Neisseria gonorrhoeae, UniProt ID: , KM Value: 20.0
Substrate: CO2, Organism: Trypanosoma cruzi, UniProt ID: , KM Value: 8.1
Substrate: CO2, Organism: Malassezia globosa, UniProt ID: , KM Value: 8.1
Substrate: CO2, Organism: Candida albicans, UniProt ID: , KM Value: 8.2
Substrate: CO2, Organism: Helicobacter pylori, UniProt ID: , KM Value: 17.0
Substrate: CO2, Organism: Rhodospirillum rubrum, UniProt ID: , KM Value: 80.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3.2
Substrate: CO2, Organism: Halothiobacillus neapolitanus, UniProt ID: , KM Value: 3.2
Substrate: CO2, Organism: Cavia porcellus, UniProt ID: , KM Value: 22.0
Substrate: CO2, Organism: Mus musculus, UniProt ID: , KM Value: 22.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 22.0
Substrate: CO2, Organism: Cavia porcellus, UniProt ID: , KM Value: 10.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 10.0
Substrate: CO2, Organism: Solanum tuberosum, UniProt ID: , KM Value: 10.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3.1
Substrate: CO2, Organism: Clostridium perfringens, UniProt ID: , KM Value: 3.1
Substrate: CO2, Organism: Cyprinus carpio, UniProt ID: , KM Value: 7.9
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 7.9
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 0.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1.4
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1.2
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1.5
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 2.5
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 2.1
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 1.1
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 5.4
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 7.6
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 14.7
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 12.6
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 5.5
